Experimental ID,Genome assembly,Antigen class,Antigen,Cell type class,Cell type,Cell type description,Processing logs,Title,Meta data,BigWig,Peak-call (BED) (q < 1E-05),Peak-call (BED) (q < 1E-10),Peak-call (BED) (q < 1E-20),Peak-call (BigBed) (q < 1E-05),Peak-call (BigBed) (q < 1E-10),Peak-call (BigBed) (q < 1E-20)
DRX135461,hg19,TFs and others,TP53,Lung,NCI-H1299,Primary Tissue=Lung|Tissue Diagnosis=Carcinoma Non-Small Cell,"33740362,15.5,56.4,3791",Illumina Genome Analyzer IIx sequencing of SAMD00131353,sample_name=ChIP-seq (H1299 LacZ p53 IP) || cell_line=H1299,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bw/DRX135461.bw,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bed05/DRX135461.05.bed,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bed10/DRX135461.10.bed,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bed20/DRX135461.20.bed,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bb05/DRX135461.05.bb,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bb10/DRX135461.10.bb,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bb20/DRX135461.20.bb
DRX135462,hg19,TFs and others,TP53,Lung,NCI-H1299,Primary Tissue=Lung|Tissue Diagnosis=Carcinoma Non-Small Cell,"29608136,23.7,34.3,4478",Illumina Genome Analyzer IIx sequencing of SAMD00131354,sample_name=ChIP-seq (H1299 p53 IP) || cell_line=H1299,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bw/DRX135462.bw,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bed05/DRX135462.05.bed,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bed10/DRX135462.10.bed,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bed20/DRX135462.20.bed,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bb05/DRX135462.05.bb,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bb10/DRX135462.10.bb,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bb20/DRX135462.20.bb
ERX159257,hg19,TFs and others,TP53,Digestive tract,LoVo,Primary Tissue=Colon|Tissue Diagnosis=Adenocarcinoma,"13908769,25.2,8.5,185",,"Alias=LoVo_TP53 || Description=Chromatin immunoprecipitation of TP53 transcription factor from LoVo cells. Antibody used in the assay was from Santa Cruz, (sc-135773 X) || INSDC center alias=KI-BN || INSDC center name=Department of Biosciences and Nutrition, Karolinska Institutet, Sweden || INSDC first public=2013-01-18T09:17:04Z || INSDC last update=2012-10-24T16:35:18Z || INSDC status=public || SRA accession=ERS183069 || Sample Name=ERS183069 || Title=LoVo_TP53",http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bw/ERX159257.bw,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bed05/ERX159257.05.bed,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bed10/ERX159257.10.bed,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bed20/ERX159257.20.bed,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bb05/ERX159257.05.bb,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bb10/ERX159257.10.bb,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bb20/ERX159257.20.bb
ERX159258,hg19,TFs and others,TP53,Digestive tract,LoVo,Primary Tissue=Colon|Tissue Diagnosis=Adenocarcinoma,"6673120,22.2,3.7,69",,"Alias=LoVo_TP53 || Description=Chromatin immunoprecipitation of TP53 transcription factor from LoVo cells. Antibody used in the assay was from Santa Cruz, (sc-135773 X) || INSDC center alias=KI-BN || INSDC center name=Department of Biosciences and Nutrition, Karolinska Institutet, Sweden || INSDC first public=2013-01-18T09:17:04Z || INSDC last update=2012-10-24T16:35:18Z || INSDC status=public || SRA accession=ERS183069 || Sample Name=ERS183069 || Title=LoVo_TP53",http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bw/ERX159258.bw,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bed05/ERX159258.05.bed,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bed10/ERX159258.10.bed,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bed20/ERX159258.20.bed,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bb05/ERX159258.05.bb,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bb10/ERX159258.10.bb,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bb20/ERX159258.20.bb
ERX159259,hg19,TFs and others,TP53,Digestive tract,LoVo,Primary Tissue=Colon|Tissue Diagnosis=Adenocarcinoma,"6496355,21.0,3.5,60",,"Alias=LoVo_TP53 || Description=Chromatin immunoprecipitation of TP53 transcription factor from LoVo cells. Antibody used in the assay was from Santa Cruz, (sc-135773 X) || INSDC center alias=KI-BN || INSDC center name=Department of Biosciences and Nutrition, Karolinska Institutet, Sweden || INSDC first public=2013-01-18T09:17:04Z || INSDC last update=2012-10-24T16:35:18Z || INSDC status=public || SRA accession=ERS183069 || Sample Name=ERS183069 || Title=LoVo_TP53",http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bw/ERX159259.bw,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bed05/ERX159259.05.bed,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bed10/ERX159259.10.bed,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bed20/ERX159259.20.bed,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bb05/ERX159259.05.bb,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bb10/ERX159259.10.bb,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bb20/ERX159259.20.bb
ERX181465,hg19,TFs and others,TP53,Bone,Saos-2,Primary Tissue=Bone|Tissue Diagnosis=Osteosarcoma,"202394853,10.3,83.6,13908",Characterization of the p53 cistrome - DNA binding cooperativity dissects p53's tumor suppressor functions,"Alias=E-MTAB-1394:SAOS+p53wt || Broker name=ArrayExpress || Description=Protocols: SAOS cells were cultured in Dulbecco's modified Eagle's medium (Life Technologies) supplemented with 10 % fetal bovine serum (PAA) and penicillin/streptomycin (Life Technologies) using standard conditions and procedures. Cells were transduced with recombinant adenovirus containing p53 wildtype, p53 R181E mutant, p53 E180R mutant, p53 R181E_E180R double mutant or GFP as previously described (Cam et al., 2006). ChIP was perfomed with a p53-specific antibody. The DNA was purified with the Qiaquick PCR purification Kit (Qiagen). || INSDC center alias=University of Marburg || INSDC center name=University of Marburg || INSDC first public=2014-02-14T17:02:00Z || INSDC last update=2018-03-08T16:10:48Z || INSDC status=public || SRA accession=ERS197247 || Sample Name=ERS197247 || Title=SAOS+p53wt || cell line=SAOS || immunoprecipitate=Anti-p53, sc-126, Santa-cruz || transfection=p53wt",http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bw/ERX181465.bw,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bed05/ERX181465.05.bed,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bed10/ERX181465.10.bed,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bed20/ERX181465.20.bed,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bb05/ERX181465.05.bb,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bb10/ERX181465.10.bb,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bb20/ERX181465.20.bb
ERX181466,hg19,TFs and others,TP53,Bone,Saos-2,Primary Tissue=Bone|Tissue Diagnosis=Osteosarcoma,"206677850,7.7,69.8,2309",Characterization of the p53 cistrome - DNA binding cooperativity dissects p53's tumor suppressor functions,"Alias=E-MTAB-1394:SAOS+GFP || Broker name=ArrayExpress || Description=Protocols: SAOS cells were cultured in Dulbecco's modified Eagle's medium (Life Technologies) supplemented with 10 % fetal bovine serum (PAA) and penicillin/streptomycin (Life Technologies) using standard conditions and procedures. Cells were transduced with recombinant adenovirus containing p53 wildtype, p53 R181E mutant, p53 E180R mutant, p53 R181E_E180R double mutant or GFP as previously described (Cam et al., 2006). ChIP was perfomed with a p53-specific antibody. The DNA was purified with the Qiaquick PCR purification Kit (Qiagen). || INSDC center alias=University of Marburg || INSDC center name=University of Marburg || INSDC first public=2014-02-14T17:02:00Z || INSDC last update=2018-03-08T16:10:48Z || INSDC status=public || SRA accession=ERS197248 || Sample Name=ERS197248 || Title=SAOS+GFP || cell line=SAOS || immunoprecipitate=Anti-p53, sc-126, Santa-cruz || transfection=mock",http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bw/ERX181466.bw,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bed05/ERX181466.05.bed,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bed10/ERX181466.10.bed,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bed20/ERX181466.20.bed,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bb05/ERX181466.05.bb,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bb10/ERX181466.10.bb,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bb20/ERX181466.20.bb
ERX181467,hg19,TFs and others,TP53,Bone,Saos-2,Primary Tissue=Bone|Tissue Diagnosis=Osteosarcoma,"209977470,12.9,81.7,35289",Characterization of the p53 cistrome - DNA binding cooperativity dissects p53's tumor suppressor functions,"Alias=E-MTAB-1394:SAOS+p53EE/RR || Broker name=ArrayExpress || Description=Protocols: SAOS cells were cultured in Dulbecco's modified Eagle's medium (Life Technologies) supplemented with 10 % fetal bovine serum (PAA) and penicillin/streptomycin (Life Technologies) using standard conditions and procedures. Cells were transduced with recombinant adenovirus containing p53 wildtype, p53 R181E mutant, p53 E180R mutant, p53 R181E_E180R double mutant or GFP as previously described (Cam et al., 2006). ChIP was perfomed with a p53-specific antibody. The DNA was purified with the Qiaquick PCR purification Kit (Qiagen). || INSDC center alias=University of Marburg || INSDC center name=University of Marburg || INSDC first public=2014-02-14T17:02:00Z || INSDC last update=2018-03-08T16:10:48Z || INSDC status=public || SRA accession=ERS197249 || Sample Name=ERS197249 || Title=SAOS+p53EE/RR || cell line=SAOS || immunoprecipitate=Anti-p53, sc-126, Santa-cruz || transfection=EE/RR",http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bw/ERX181467.bw,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bed05/ERX181467.05.bed,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bed10/ERX181467.10.bed,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bed20/ERX181467.20.bed,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bb05/ERX181467.05.bb,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bb10/ERX181467.10.bb,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bb20/ERX181467.20.bb
ERX181468,hg19,TFs and others,TP53,Bone,Saos-2,Primary Tissue=Bone|Tissue Diagnosis=Osteosarcoma,"192735554,13.1,78.9,5932",Characterization of the p53 cistrome - DNA binding cooperativity dissects p53's tumor suppressor functions,"Alias=E-MTAB-1394:SAOS+p53RR || Broker name=ArrayExpress || Description=Protocols: SAOS cells were cultured in Dulbecco's modified Eagle's medium (Life Technologies) supplemented with 10 % fetal bovine serum (PAA) and penicillin/streptomycin (Life Technologies) using standard conditions and procedures. Cells were transduced with recombinant adenovirus containing p53 wildtype, p53 R181E mutant, p53 E180R mutant, p53 R181E_E180R double mutant or GFP as previously described (Cam et al., 2006). ChIP was perfomed with a p53-specific antibody. The DNA was purified with the Qiaquick PCR purification Kit (Qiagen). || INSDC center alias=University of Marburg || INSDC center name=University of Marburg || INSDC first public=2014-02-14T17:02:00Z || INSDC last update=2018-03-08T16:10:48Z || INSDC status=public || SRA accession=ERS197250 || Sample Name=ERS197250 || Title=SAOS+p53RR || cell line=SAOS || immunoprecipitate=Anti-p53, sc-126, Santa-cruz || transfection=RR",http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bw/ERX181468.bw,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bed05/ERX181468.05.bed,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bed10/ERX181468.10.bed,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bed20/ERX181468.20.bed,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bb05/ERX181468.05.bb,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bb10/ERX181468.10.bb,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bb20/ERX181468.20.bb
ERX181469,hg19,TFs and others,TP53,Bone,Saos-2,Primary Tissue=Bone|Tissue Diagnosis=Osteosarcoma,"213903005,12.9,73.3,4803",Characterization of the p53 cistrome - DNA binding cooperativity dissects p53's tumor suppressor functions,"Alias=E-MTAB-1394:SAOS+p53EE || Broker name=ArrayExpress || Description=Protocols: SAOS cells were cultured in Dulbecco's modified Eagle's medium (Life Technologies) supplemented with 10 % fetal bovine serum (PAA) and penicillin/streptomycin (Life Technologies) using standard conditions and procedures. Cells were transduced with recombinant adenovirus containing p53 wildtype, p53 R181E mutant, p53 E180R mutant, p53 R181E_E180R double mutant or GFP as previously described (Cam et al., 2006). ChIP was perfomed with a p53-specific antibody. The DNA was purified with the Qiaquick PCR purification Kit (Qiagen). || INSDC center alias=University of Marburg || INSDC center name=University of Marburg || INSDC first public=2014-02-14T17:02:00Z || INSDC last update=2018-03-08T16:10:48Z || INSDC status=public || SRA accession=ERS197251 || Sample Name=ERS197251 || Title=SAOS+p53EE || cell line=SAOS || immunoprecipitate=Anti-p53, sc-126, Santa-cruz || transfection=EE",http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bw/ERX181469.bw,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bed05/ERX181469.05.bed,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bed10/ERX181469.10.bed,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bed20/ERX181469.20.bed,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bb05/ERX181469.05.bb,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bb10/ERX181469.10.bb,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/eachData/bb20/ERX181469.20.bb
